Date,gold,oil,dxy,sp500,gold_tomorrow,target,gold_ret,oil_ret,dxy_ret,sp_ret
2021-01-25,1855.2,52.67,90.373,3855.4,1850.9,0,-0.0005387350501023791,0.009197164207702668,0.0017846849643063933,0.00361837823766753
2021-01-26,1850.9,52.52,90.148,3849.6,1844.9,0,-0.0023178094006036654,-0.0028479210176570735,-0.0024896816527061327,-0.0015043834621569774
2021-01-27,1844.9,52.73,90.64,3750.8,1839.4,0,-0.0032416662164352905,0.003998476770753934,0.00545769179571387,-0.025665004156275928
2021-01-28,1839.4,52.24,90.427,3787.4,1849.0,1,-0.0029811913924874256,-0.009292622795372574,-0.0023499558693732547,0.009757918310760338
2021-01-29,1849.0,52.08,90.569,3714.2,1862.2,1,0.005219093182559531,-0.003062787136294043,0.0015703274464484718,-0.019327242963510627
2021-02-01,1862.2,53.42,90.975,3773.9,1832.4,0,0.007138994050838399,0.025729646697388642,0.004482770042729678,0.016073447848796496
2021-02-02,1832.4,54.62,91.189,3826.3,1833.8,1,-0.016002577596391343,0.022463496817671125,0.002352294586424719,0.013884840615808525
2021-02-03,1833.8,55.54,91.148,3830.2,1790.3,0,0.0007640253219820536,0.016843647015745145,-0.0004496156334645729,0.0010192614274886491
2021-02-04,1790.3,56.07,91.52,3871.7,1811.9,1,-0.023721234594830443,0.009542671948145509,0.004081274410848268,0.010834943344995018
2021-02-05,1811.9,56.7,91.032,3886.8,1833.0,1,0.012065017036251069,0.011235955056179803,-0.005332167832167833,0.0039000955652557234
2021-02-08,1833.0,57.83,90.919,3915.6,1836.2,1,0.011645234284452632,0.0199294532627865,-0.0012413217330169424,0.007409694350108076
2021-02-09,1836.2,58.25,90.429,3911.2,1841.6,1,0.0017457719585378673,0.007262666436105958,-0.005389412554031581,-0.0011237102870569338
2021-02-10,1841.6,58.57,90.363,3909.9,1825.6,0,0.002940856115891455,0.005493562231759563,-0.0007298543608798003,-0.00033237880957248667
2021-02-11,1825.6,58.14,90.413,3916.4,1822.0,0,-0.008688097306689846,-0.0073416424790848644,0.0005533238161636866,0.001662446609887791
2021-02-12,1822.0,59.38,90.47,3934.8,1799.0,0,-0.001971954425942113,0.021327829377365104,0.0006304403127868063,0.004698192217342578
2021-02-15,1799.0,60.09,90.47,3947.4,1797.9,0,-0.012623490669593895,0.011956887841023889,0.0,0.003202195791399687
2021-02-16,1797.9,60.08,90.503,3932.6,1771.8,0,-0.000611450806003333,-0.0001664170411050936,0.00036476179949151977,-0.003749303338906662
2021-02-17,1771.8,61.16,90.949,3931.3,1774.0,1,-0.014516936425830185,0.01797603195739006,0.0049280134360185635,-0.000330570106290895
2021-02-18,1774.0,60.53,90.6,3914.0,1776.3,1,0.001241675132633402,-0.010300850228907699,-0.003837315418531273,-0.004400579960827211
2021-02-19,1776.3,59.26,90.363,3906.7,1807.2,1,0.0012965050732807182,-0.02098133157112181,-0.002615894039735056,-0.0018650996423097421
2021-02-22,1807.2,61.7,89.999,3876.5,1804.8,0,0.017395710184090474,0.04117448531893353,-0.004028197381671705,-0.0077303094683491835
2021-02-23,1804.8,61.43,90.167,3881.4,1796.6,0,-0.0013280212483399723,-0.004376012965964349,0.001866687407637846,0.0012640268283246048
2021-02-24,1796.6,63.0,90.17,3925.4,1775.4,0,-0.004543439716312103,0.025557545173368057,3.327159603849772e-05,0.011336115834492677
2021-02-25,1775.4,63.22,90.135,3829.3,1728.8,0,-0.011800066792830854,0.0034920634920634352,-0.000388155705888793,-0.024481581494879445
2021-02-26,1728.8,61.23,90.882,3811.1,1723.0,0,-0.026247606173256832,-0.03147738057576721,0.008287568647029397,-0.004752826887420736
2021-03-01,1723.0,60.42,91.036,3901.8,1733.6,1,-0.003354928273947233,-0.013228809407153319,0.0016945049624788044,0.023798903203799515
2021-03-02,1733.6,59.57,90.79,3870.3,1715.8,0,0.006152060359837508,-0.014068189341277737,-0.0027022276901444986,-0.008073196986006503
2021-03-03,1715.8,61.1,90.942,3819.7,1700.7,0,-0.010267651130595246,0.025684069162330125,0.001674193193082818,-0.013073921918197673
2021-03-04,1700.7,63.62,91.644,3768.5,1698.5,0,-0.008800559505769856,0.04124386252045831,0.0077192056475556825,-0.013404194046652829
2021-03-05,1698.5,65.92,91.99,3841.9,1678.0,0,-0.001293584994414121,0.036152153410877075,0.003775479027541273,0.019477245588430447
2021-03-08,1678.0,64.93,92.334,3821.4,1716.9,1,-0.012069473064468594,-0.015018203883495063,0.0037395369061854478,-0.005335901507066865
2021-03-09,1716.9,63.99,91.964,3875.4,1721.8,1,0.023182359952324205,-0.01447712921607891,-0.004007191283817546,0.01413094677343385
2021-03-10,1721.8,64.42,91.828,3898.8,1722.6,1,0.002853981012289619,0.006719799968745166,-0.0014788395459092163,0.006038086391082276
2021-03-11,1722.6,66.0,91.418,3939.3,1719.8,0,0.00046463003833197014,0.02452654455138159,-0.004464869103105729,0.010387811634348987
2021-03-12,1719.8,65.64,91.678,3943.3,1729.2,1,-0.0016254499013119705,-0.00545454545454549,0.002844078846616638,0.0010154088289797691
2021-03-15,1729.2,65.44,91.852,3968.9,1730.9,1,0.005465751831608356,-0.0030469226081657474,0.001897947162896374,0.006492024446529632
2021-03-16,1730.9,64.86,91.88,3962.7,1727.1,0,0.0009831135785334233,-0.008863080684596514,0.0003048382180028675,-0.0015621456826829805
2021-03-17,1727.1,64.63,91.435,3974.1,1732.5,1,-0.002195389681668547,-0.0035460992907802025,-0.004843273835437478,0.0028768264062382087
2021-03-18,1732.5,60.06,91.87,3915.5,1741.7,1,0.0031266284523190357,-0.07071019650317178,0.004757477989828951,-0.014745476963337611
2021-03-19,1741.7,61.44,91.925,3913.1,1738.1,0,0.005310245310245376,0.022977022977022976,0.0005986720365733778,-0.0006129485378623123
2021-03-22,1738.1,61.56,91.741,3940.6,1725.1,0,-0.002066946087156296,0.001953125,-0.0020016317650257687,0.007027676266898375
2021-03-23,1725.1,57.78,92.347,3910.5,1733.2,1,-0.007479431563201189,-0.06140350877192979,0.006605552588264674,-0.007638430695833143
2021-03-24,1733.2,61.16,92.53,3889.1,1725.1,0,0.004695379977972314,0.05849775008653513,0.001981656144758537,-0.0054724459787751645
2021-03-25,1725.1,58.57,92.826,3909.5,1732.3,1,-0.004673436418186072,-0.04234793982995411,0.0031989624986490384,0.005245429533825341
2021-03-26,1732.3,60.96,92.775,3974.5,1712.2,0,0.004173671091530995,0.04080587331398333,-0.0005494150345807247,0.016626167029031746
2021-03-29,1712.2,61.53,92.956,3971.1,1685.1,0,-0.011603071061594306,0.009350393700787496,0.001950956615467403,-0.0008554535161655608
2021-03-30,1685.1,60.56,93.321,3958.6,1714.4,1,-0.01582759023478575,-0.015764667641800734,0.0039265889237918294,-0.003147742439122636
2021-03-31,1714.4,59.18,93.236,3972.9,1727.3,1,0.01738769212509661,-0.022787318361955133,-0.0009108346460067196,0.0036123882180569833
2021-04-01,1727.3,61.48,92.947,4019.9,1727.7,1,0.0075244983667754894,0.038864481243663374,-0.003099661075121163,0.011830149261244927
2021-04-05,1727.7,58.68,92.595,4077.9,1742.0,1,0.0002315752909165525,-0.045543266102797575,-0.00378710447889663,0.014428219607452997
2021-04-06,1742.0,59.37,92.348,4073.9,1740.5,0,0.008276899924755332,0.011758691206543936,-0.00266753064420322,-0.0009808970303342157
2021-04-07,1740.5,59.81,92.472,4079.9,1757.1,1,-0.00086107921928813,0.0074111504126663785,0.0013427470004763187,0.0014727902010358562
2021-04-08,1757.1,59.63,92.069,4097.2,1743.8,0,0.00953748922723352,-0.003009530178899822,-0.004358075958127761,0.004240300007352982
2021-04-09,1743.8,59.35,92.16,4128.8,1731.6,0,-0.007569290307893661,-0.004695623008552752,0.0009883891429254277,0.007712584203846573
2021-04-12,1731.6,59.75,92.144,4128.0,1746.5,1,-0.006996215162289321,0.006739679865206405,-0.00017361111111102723,-0.00019376089905065452
2021-04-13,1746.5,60.24,91.844,4141.6,1735.3,0,0.008604758604758622,0.008200836820083657,-0.0032557735718007352,0.003294573643410903
2021-04-14,1735.3,63.22,91.674,4124.7,1765.8,1,-0.006412825651302634,0.04946879150066397,-0.0018509646792386203,-0.004080548580258969
2021-04-15,1765.8,63.51,91.618,4170.4,1779.3,1,0.017576211606062264,0.004587155963302836,-0.0006108602220914472,0.011079593667418175
2021-04-16,1779.3,63.19,91.544,4185.5,1769.7,0,0.007645259938837912,-0.005038576602109934,-0.0008077015433648471,0.003620755802800746
2021-04-19,1769.7,63.43,91.05,4163.3,1777.6,1,-0.005395380205698852,0.003798069314765007,-0.0053963121559031935,-0.00530402580336875
2021-04-20,1777.6,62.67,91.227,4134.9,1792.7,1,0.004464033451997418,-0.011981712123600774,0.0019439868204285116,-0.006821511781519574
2021-04-21,1792.7,61.27,91.129,4173.4,1781.5,0,0.008494599459946128,-0.022339237274613066,-0.001074243370931871,0.009310986964618184
2021-04-22,1781.5,61.34,91.321,4135.0,1777.3,0,-0.006247559547051917,0.001142484086828821,0.0021069034006737652,-0.009201130972348648
2021-04-23,1777.3,62.02,90.839,4180.2,1779.4,1,-0.0023575638506876384,0.011085751548744804,-0.0052780849968790955,0.010931076178960053
2021-04-26,1779.4,61.8,90.78,4187.6,1778.2,0,0.0011815675462780728,-0.003547242824895269,-0.0006495007650898499,0.0017702502272620713
2021-04-27,1778.2,62.8,90.892,4186.7,1773.5,0,-0.0006743846240305773,0.016181229773462702,0.0012337519277372255,-0.00021492024071079197
2021-04-28,1773.5,63.75,90.593,4183.2,1768.3,0,-0.002643122258463637,0.015127388535031816,-0.003289618448268139,-0.0008359806052499197
2021-04-29,1768.3,64.88,90.593,4211.5,1767.7,0,-0.002932055257964472,0.017725490196078386,0.0,0.006765155861541361
2021-04-30,1767.7,63.48,91.27,4181.2,1791.8,1,-0.0003393089407904837,-0.02157829839704062,0.007472983563851399,-0.007194586251929258
2021-05-03,1791.8,64.41,90.927,4192.7,1776.0,0,0.013633535102109962,0.01465028355387532,-0.0037580804207295593,0.002750406581842446
2021-05-04,1776.0,65.61,91.275,4164.7,1784.3,1,-0.008817948431744549,0.01863064741499776,0.003827246032531484,-0.006678274143153584
2021-05-05,1784.3,65.59,91.293,4167.6,1815.7,1,0.004673423423423362,-0.0003048315805517232,0.00019720624486452287,0.0006963286671310964
2021-05-06,1815.7,64.67,90.936,4201.6,1831.3,1,0.0175979375665527,-0.014026528434212593,-0.003910486017547843,0.00815817256934448
2021-05-07,1831.3,64.88,90.216,4232.6,1837.6,1,0.008591727708321839,0.0032472552961186896,-0.007917656373713555,0.0073781416603198036
2021-05-10,1837.6,64.93,90.185,4188.4,1836.1,0,0.00344017910773764,0.000770653514180264,-0.00034361975702745795,-0.010442753862874077
2021-05-11,1836.1,65.3,90.124,4152.1,1822.8,0,-0.0008162821070961668,0.005698444478669185,-0.0006763874258469693,-0.008666794002482825
2021-05-12,1822.8,66.1,90.686,4063.0,1824.0,1,-0.0072436141822340705,0.012251148545176171,0.006235852824996835,-0.02145902073649486
2021-05-13,1824.0,63.84,90.735,4112.5,1838.1,1,0.0006583278472680476,-0.034190620272314565,0.0005403259599054966,0.012183115924193855
2021-05-14,1838.1,65.36,90.318,4173.9,1867.6,1,0.007730263157894601,0.023809523809523725,-0.00459580095883616,0.014930091185410221
2021-05-17,1867.6,66.28,90.142,4163.3,1868.0,1,0.016049181219737862,0.014075887392900777,-0.0019486702539914802,-0.002539591269555941
2021-05-18,1868.0,65.5,89.734,4127.8,1881.5,1,0.00021417862497319362,-0.011768255884127998,-0.004526192008164953,-0.0085268897268993
2021-05-19,1881.5,63.35,90.191,4115.7,1881.9,1,0.007226980728051391,-0.03282442748091596,0.005092829919540076,-0.0029313435728476334
2021-05-20,1881.9,61.94,89.795,4159.1,1876.7,0,0.0002125963327133107,-0.02225730071033949,-0.004390681997095025,0.010544986272080115
2021-05-21,1876.7,63.36,90.005,4155.9,1884.5,1,-0.0027631648865508174,0.022925411688730968,0.00233866028175278,-0.0007693972253614012
2021-05-24,1884.5,65.78,89.838,4197.0,1898.0,1,0.004156231683273726,0.03819444444444442,-0.0018554524748625179,0.009889554609110007
2021-05-25,1898.0,65.79,89.628,4188.1,1901.2,1,0.007163703900238794,0.0001520218911523763,-0.002337540906965807,-0.002120562306409224
2021-05-26,1901.2,65.96,90.03,4196.0,1896.9,0,0.0016859852476291959,0.0025839793281652312,0.004485205516133295,0.0018862968888038179
2021-05-27,1896.9,66.6,89.959,4200.9,1904.0,1,-0.0022617294340416816,0.009702850212249814,-0.0007886260135510081,0.0011677788369874875
2021-05-28,1904.0,66.1,89.993,4204.1,1905.0,1,0.003742949022088604,-0.007507507507507505,0.0003779499549794174,0.0007617415315768206
2021-05-31,1905.0,66.96,89.993,4200.6,1903.7,0,0.0005252100840336116,0.013010590015128498,0.0,-0.0008325206346185832
2021-06-01,1903.7,67.52,89.819,4202.0,1908.7,1,-0.0006824146981626589,0.008363201911589124,-0.0019334837154000306,0.000333285721087373
2021-06-02,1908.7,68.63,89.901,4208.1,1872.1,0,0.0026264642538214034,0.016439573459715584,0.0009129471492668184,0.0014516896715850436
2021-06-03,1872.1,68.6,90.501,4192.9,1890.8,1,-0.019175354953633428,-0.0004371266210112523,0.006674008075549853,-0.0036120814619425845
2021-06-04,1890.8,69.39,90.133,4229.9,1897.6,1,0.009988782650499406,0.011516034985422863,-0.004066253411564635,0.008824441317465181
2021-06-07,1897.6,69.04,89.946,4226.5,1893.1,0,0.0035963613285381335,-0.005043954460296818,-0.0020747118147625976,-0.0008038015083098315
2021-06-08,1893.1,69.87,90.076,4227.3,1894.2,1,-0.002371416526138259,0.012022016222479781,0.0014453116314232517,0.00018928191174727438
2021-06-09,1894.2,69.79,90.121,4219.5,1895.2,1,0.0005810575246949501,-0.001144983540861566,0.0004995781340202399,-0.0018451493861330048
2021-06-10,1895.2,70.09,90.078,4239.2,1878.4,0,0.0005279273571956455,0.0042986101160624735,-0.0004771362945372726,0.004668799620808128
2021-06-11,1878.4,70.6,90.55,4247.4,1864.6,0,-0.008864499788940439,0.007276358967042151,0.005239903195008777,0.001934327231553068
2021-06-14,1864.6,70.63,90.475,4255.1,1855.2,0,-0.0073466780238501395,0.00042492917847036793,-0.000828271673108838,0.0018128737580638266
2021-06-15,1855.2,71.86,90.502,4246.6,1860.2,1,-0.005041295720261685,0.017414696304686395,0.000298424979276124,-0.0019976028765481546
2021-06-16,1860.2,71.95,91.208,4223.7,1774.5,0,0.002695127210004422,0.001252435290843401,0.007800932576075725,-0.005392549333584684
2021-06-17,1774.5,70.78,91.873,4221.9,1768.4,0,-0.04607031501989034,-0.01626129256428077,0.007291027102885872,-0.0004261666311528023
2021-06-18,1768.4,71.29,92.209,4166.5,1782.3,1,-0.003437588052972562,0.007205425261373355,0.003657222470148991,-0.01312205405149336
2021-06-21,1782.3,73.12,91.881,4224.8,1776.5,0,0.007860212621578766,0.025669799410857008,-0.0035571365051134674,0.013992559702388219
2021-06-22,1776.5,72.85,91.751,4246.4,1782.5,1,-0.0032542220726028415,-0.0036925601750548154,-0.0014148735864868422,0.005112668055292424
2021-06-23,1782.5,72.36,91.785,4241.8,1775.8,0,0.0033774275260343156,-0.0067261496225119455,0.00037056816819425187,-0.001083270535041314
2021-06-24,1775.8,72.63,91.795,4266.5,1777.0,1,-0.003758765778401174,0.003731343283581934,0.00010895026420443266,0.0058229996699514786
2021-06-25,1777.0,73.33,91.844,4280.7,1779.8,1,0.0006757517738484875,0.009637890678782846,0.000533798137153374,0.0033282550099613673
2021-06-28,1779.8,72.2,91.876,4290.6,1763.6,0,0.0015756893640967995,-0.015409791354152436,0.0003484168807978971,0.002312705865863185
2021-06-29,1763.6,72.31,92.041,4291.8,1771.6,1,-0.009102146308573977,0.0015235457063711433,0.0017958988201487447,0.0002796811634735441
2021-06-30,1771.6,72.77,92.431,4297.5,1776.8,1,0.004536176003628878,0.006361499101092516,0.0042372420986298565,0.001328114078009257
2021-07-01,1776.8,74.33,92.594,4319.9,1783.3,1,0.0029351998193722917,0.02143740552425455,0.0017634776211443715,0.005212332751599602
2021-07-02,1783.3,74.36,92.413,4352.3,1794.2,1,0.0036582620441243385,0.0004036055428495722,-0.0019547702874915807,0.007500173615130112
2021-07-05,1794.2,76.25,92.413,4346.4,1794.2,0,0.006112263780631455,0.02541689080150622,0.0,-0.0013556050823703147
2021-07-06,1794.2,72.58,92.543,4343.5,1802.1,1,0.0,-0.048131147540983577,0.0014067284905805444,-0.0006672188477819807
2021-07-07,1802.1,71.5,92.645,4358.1,1800.2,0,0.004403076580091314,-0.01488013226784235,0.0011021903331422944,0.003361344537815114
2021-07-08,1800.2,72.22,92.406,4320.8,1810.6,1,-0.0010543255091282067,0.010069930069930066,-0.0025797398672350313,-0.008558775613225933
2021-07-09,1810.6,73.81,92.116,4369.5,1805.9,0,0.0057771358737916945,0.02201606203267792,-0.003138324351232624,0.011271060914645359
2021-07-12,1805.9,73.44,92.256,4384.6,1809.9,1,-0.0025958245885341347,-0.005012870884704035,0.0015198228320811857,0.0034557729717359376
2021-07-13,1809.9,74.69,92.759,4369.2,1825.0,1,0.002214962068774584,0.017020697167756005,0.005452219909816147,-0.003512293025589641
2021-07-14,1825.0,72.64,92.405,4374.3,1829.0,1,0.00834300237582175,-0.027446780024099615,-0.0038163412714669054,0.0011672617412799013
2021-07-15,1829.0,71.38,92.631,4360.0,1815.0,0,0.0021917808219178436,-0.017345814977973606,0.0024457550998322475,-0.003269094483688839
2021-07-16,1815.0,71.56,92.687,4327.2,1809.2,0,-0.007654455986878084,0.0025217147660410166,0.0006045492329780355,-0.007522935779816553
2021-07-19,1809.2,66.35,92.9,4270.3,1811.4,1,-0.0031955922865013475,-0.07280603689211862,0.002298056901183676,-0.013149380661859777
2021-07-20,1811.4,67.2,92.979,4332.8,1803.4,0,0.0012160070749502871,0.012810851544838187,0.0008503767491925274,0.014635974053345269
2021-07-21,1803.4,69.57,92.759,4362.4,1805.4,1,-0.004416473445953417,0.03526785714285707,-0.0023661256842942846,0.006831610044313097
2021-07-22,1805.4,71.14,92.83,4377.5,1801.8,0,0.0011090163025395672,0.022567198505102803,0.0007654243793053794,0.003461397395928989
2021-07-23,1801.8,71.38,92.928,4406.9,1799.2,0,-0.001994017946161608,0.0033736294630306585,0.0010556932026284382,0.006716162193032504
2021-07-26,1799.2,71.34,92.651,4419.6,1799.8,1,-0.0014430014430013571,-0.0005603810591200409,-0.00298080234159781,0.002881844380403731
2021-07-27,1799.8,71.14,92.436,4399.9,1799.7,0,0.00033348154735435287,-0.0028034763106251637,-0.0023205362057613366,-0.004457416960811145
2021-07-28,1799.7,71.79,92.317,4401.7,1832.3,1,-5.5561729080944033e-05,0.009136913129041302,-0.0012873772123416227,0.00040910020682294324
2021-07-29,1832.3,72.98,91.871,4394.1,1813.5,0,0.018114130132799833,0.01657612480846904,-0.004831179522731488,-0.0017266056296429966
2021-07-30,1813.5,73.23,92.188,4402.1,1818.7,1,-0.01026032854881842,0.003425596053713287,0.003450490361485148,0.001820623108258701
2021-08-02,1818.7,70.61,92.065,4394.0,1810.7,0,0.0028673835125447855,-0.035777686740407044,-0.0013342300516336891,-0.0018400308943459232
2021-08-03,1810.7,70.03,92.088,4415.8,1811.2,1,-0.004398746357288208,-0.00821413397535753,0.00024982349427027373,0.004961310878470737
2021-08-04,1811.2,67.79,92.274,4405.1,1805.7,0,0.0002761363008780826,-0.03198629158931876,0.0020198071409955887,-0.0024231169889940007
2021-08-05,1805.7,68.74,92.252,4423.9,1760.3,0,-0.0030366607773851806,0.014013866351969106,-0.0002384203567635801,0.004267780527116072
2021-08-06,1760.3,68.1,92.8,4437.5,1723.8,0,-0.025142603976297306,-0.009310445155659042,0.005940250617872733,0.003074210538212885
2021-08-09,1723.8,66.3,92.938,4432.3,1729.0,1,-0.020735101971254943,-0.026431718061673992,0.001487068965517313,-0.0011718309859154452
2021-08-10,1729.0,68.06,93.055,4434.3,1750.8,1,0.003016591251885359,0.02654600301659138,0.001258903785319232,0.000451232994156614
2021-08-11,1750.8,69.02,92.918,4445.0,1749.3,0,0.012608444187391488,0.014105201292976766,-0.0014722475955080139,0.002413007690052593
2021-08-12,1749.3,68.9,93.038,4458.1,1775.5,1,-0.0008567511994517218,-0.0017386264850766109,0.001291461288447815,0.0029471316085489807
2021-08-13,1775.5,68.21,92.512,4465.8,1787.2,1,0.014977419539244252,-0.010014513788098811,-0.005653603903781224,0.0017271931988962486
2021-08-16,1787.2,67.05,92.619,4476.1,1785.5,0,0.006589693044212863,-0.01700630406098813,0.0011566067104809008,0.002306417663128668
2021-08-17,1785.5,66.34,93.145,4437.9,1782.1,0,-0.0009512085944494153,-0.010589112602535367,0.005679180297779141,-0.008534215053283112
2021-08-18,1782.1,65.21,93.144,4396.2,1780.6,0,-0.001904228507420891,-0.017033463973470164,-1.073594932621269e-05,-0.009396336104914416
2021-08-19,1780.6,63.5,93.588,4398.6,1781.4,1,-0.0008417036081027618,-0.02622297193681944,0.00476681267714496,0.0005459260270235244
2021-08-20,1781.4,62.14,93.508,4442.1,1803.6,1,0.00044928675727295975,-0.021417322834645702,-0.0008548104457836159,0.009889510298731308
2021-08-23,1803.6,65.34,92.971,4487.2,1805.9,1,0.012462108454024845,0.051496620534277504,-0.0057428241433886695,0.010152855631345492
2021-08-24,1805.9,67.25,92.901,4485.7,1788.2,0,0.001275227323131567,0.02923171104989275,-0.0007529229544697147,-0.0003342841861294632
2021-08-25,1788.2,68.06,92.832,4496.1,1792.4,1,-0.00980120715432753,0.012044609665427641,-0.0007427261278134534,0.002318478721270001
2021-08-26,1792.4,67.1,93.078,4469.7,1816.6,1,0.0023487305670506498,-0.014105201292976877,0.002649948293691917,-0.005871755521452027
2021-08-27,1816.6,68.48,92.694,4510.7,1809.8,0,0.013501450569069373,0.020566318926974914,-0.004125572100818653,0.009172875137033909
2021-08-30,1809.8,68.93,92.652,4529.8,1815.8,1,-0.0037432566332709083,0.00657126168224309,-0.00045310376076124204,0.004234376039195853
2021-08-31,1815.8,68.26,92.635,4530.3,1813.8,0,0.003315283456735596,-0.009720005802988596,-0.00018348227777054138,0.00011038014923392403
2021-09-01,1813.8,68.32,92.449,4525.2,1809.4,0,-0.0011014428901860995,0.0008789920890710512,-0.002007880390781147,-0.001125753261373541
2021-09-02,1809.4,69.73,92.228,4536.0,1831.5,1,-0.002425846289557776,0.02063817330210793,-0.002390507198563596,0.0023866348448686736
2021-09-03,1831.5,69.07,92.033,4535.0,1798.5,0,0.012213993589035077,-0.00946507959271492,-0.0021143253675672824,-0.00022045855379193569
2021-09-06,1798.5,68.8,92.033,4540.7,1796.3,0,-0.018018018018018056,-0.003909077747212941,0.0,0.00125689084895253
2021-09-07,1796.3,68.13,92.514,4515.8,1791.2,0,-0.0012232415902141414,-0.009738372093023306,0.0052263861875629924,-0.005483735987843241
2021-09-08,1791.2,69.05,92.65,4508.3,1797.8,1,-0.0028391694037743775,0.013503596066343881,0.0014700477765527964,-0.0016608352894281753
2021-09-09,1797.8,67.92,92.48,4491.9,1789.9,0,0.003684680661009354,-0.016364952932657384,-0.0018348623853211565,-0.003637734844620044
2021-09-10,1789.9,69.47,92.59,4462.1,1792.3,1,-0.004394259650684074,0.022820965842167196,0.0011894463667820876,-0.0066341637169125
2021-09-13,1792.3,70.19,92.652,4475.6,1805.0,1,0.0013408570311190804,0.01036418597955957,0.0006696187493249184,0.0030254812756325133
2021-09-14,1805.0,70.23,92.614,4450.7,1792.6,0,0.007085867321318995,0.0005698817495369823,-0.0004101368561930663,-0.005563499865939847
2021-09-15,1792.6,72.33,92.534,4484.2,1754.6,0,-0.006869806094182862,0.02990175138829554,-0.0008638002893730512,0.007526905879973844
2021-09-16,1754.6,72.37,92.919,4467.1,1749.4,0,-0.02119825951132437,0.0005530208765380795,0.004160632848466461,-0.0038133892333079844
2021-09-17,1749.4,71.82,93.176,4418.9,1761.8,1,-0.0029636384361106938,-0.007599834185436083,0.0027658498261926567,-0.01078999798527025
2021-09-20,1761.8,70.14,93.256,4366.9,1776.1,1,0.007088144506687932,-0.023391812865496964,0.0008585901948998664,-0.011767634479169065
2021-09-21,1776.1,70.49,93.2,4342.1,1776.7,1,0.008116698830741287,0.004990019960079861,-0.0006004975551170411,-0.005679085850374244
2021-09-22,1776.7,71.89,93.46,4403.1,1747.7,0,0.00033781881650818413,0.019860973187686204,0.0027896995708154293,0.014048501876972042
2021-09-23,1747.7,72.95,93.03,4451.8,1749.7,1,-0.0163223954522429,0.01474474892196409,-0.0046008987802267365,0.011060389271195348
2021-09-24,1749.7,73.61,93.335,4456.4,1750.0,1,0.0011443611603823012,0.009047292666209739,0.003278512307857584,0.0010332899052067912
2021-09-27,1750.0,75.08,93.381,4440.1,1735.9,0,0.00017145796422246562,0.019970112756418912,0.0004928483419939234,-0.0036576608921997655
2021-09-28,1735.9,74.9,93.78,4365.5,1722.2,0,-0.008057142857142763,-0.002397442727756993,0.004272817810903717,-0.016801423391365145
2021-09-29,1722.2,74.5,94.353,4372.1,1756.3,1,-0.007892159686617939,-0.005340453938584844,0.006110044785668567,0.001511854312221006
2021-09-30,1756.3,74.7,94.24,4316.2,1757.7,1,0.019800255487167462,0.0026845637583892135,-0.0011976301760410202,-0.012785617895290757
2021-10-01,1757.7,75.58,94.047,4361.4,1766.9,1,0.0007971303308091926,0.011780455153949099,-0.002047962648556889,0.010472174598026074
2021-10-04,1766.9,77.33,93.78,4303.6,1760.2,0,0.005234112760994503,0.02315427361735911,-0.002839006028900415,-0.013252625303801335
2021-10-05,1760.2,78.57,93.967,4338.3,1761.2,1,-0.003791952006338861,0.016035173929910718,0.0019940285775217337,0.008063017009015683
